instance,mip,time,val
130_49_4_6,BinP,0.06,2.00
130_49_4_6,3Idx,3.62,2.00
60_23_4_5,BinP,0.02,4.00
60_23_4_5,3Idx,0.35,4.00
60_23_4_6,BinP,0.04,3.00
60_23_4_6,3Idx,0.49,3.00
80_30_4_5,BinP,0.04,7.00
80_30_4_5,3Idx,0.70,7.00
200_75_4_7,BinP,4.16,1.00
200_75_4_7,3Idx,15.58,1.00
130_49_4_8,BinP,0.12,1.00
130_49_4_8,3Idx,4.14,1.00
130_49_4_5,BinP,0.05,0.00
130_49_4_5,3Idx,3.68,0.00
190_72_4_1,BinP,2.38,0.00
190_72_4_1,3Idx,12.68,0.00
140_53_4_8,BinP,0.06,0.00
140_53_4_8,3Idx,4.66,0.00
40_15_4_0,BinP,0.11,21.00
40_15_4_0,3Idx,2.06,21.00
40_15_4_4,BinP,0.04,24.00
40_15_4_4,3Idx,1.66,24.00
110_42_4_1,BinP,0.18,0.00
110_42_4_1,3Idx,1.89,0.00
150_57_4_3,BinP,0.20,1.00
150_57_4_3,3Idx,5.82,1.00
180_68_4_1,BinP,0.38,0.00
180_68_4_1,3Idx,10.25,0.00
50_19_4_3,BinP,0.06,11.00
50_19_4_3,3Idx,0.36,11.00
40_15_4_2,BinP,0.39,28.00
40_15_4_2,3Idx,7.41,28.00
60_23_4_8,BinP,0.02,4.00
60_23_4_8,3Idx,0.47,4.00
40_15_4_7,BinP,0.89,51.00
40_15_4_7,3Idx,27.31,51.00
90_34_4_4,BinP,0.06,0.00
90_34_4_4,3Idx,1.11,0.00
150_57_4_9,BinP,0.15,1.00
150_57_4_9,3Idx,5.80,1.00
20_8_4_4,BinP,0.00,19.00
20_8_4_4,3Idx,0.01,19.00
50_19_4_9,BinP,0.72,44.00
50_19_4_9,3Idx,2.12,44.00
20_8_4_6,BinP,0.00,11.00
20_8_4_6,3Idx,0.02,11.00
140_53_4_4,BinP,0.06,0.00
140_53_4_4,3Idx,4.91,0.00
70_27_4_2,BinP,0.04,3.00
70_27_4_2,3Idx,0.59,3.00
50_19_4_0,BinP,0.24,26.00
50_19_4_0,3Idx,8.62,26.00
